,sentences1,sentences2,is_similar
244,If dark energy is created with expansion can infinite of it be created?,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1
245,How do you get a book published?,What are the good ways to write and publish a book?,0
246,Who is disrupting Bloomberg?,Who will disrupt Bloomberg?,1
247,Why can flash run so fast?,The Flash (DC character): How fast can the Flash run a mile?,0
248,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest ₹5000 over the next 6 months?,0
249,How will the implementation of GST bill impact the lives of common people?,What exactly is GST bill and how exactly will it affect the common people?,1
250,How can you recover your Gmail password?,"I do not remember my password to my Gmail account, how can I recover my account?",1
251,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,1
252,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0
253,What are the qualities of a good leader?,What are some good qualities of a leader?,1
254,"What is the difference between bay, gulf and straits?",What exactly is the difference between a sea and a bay?,0
255,Will Modi win in 2019?,Can Narendra Modi become Prime Minister of India in 2019?,1
256,How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0
257,What are the best YouTube channels to learn medicine?,What are some of the best YouTube channels for learning Git?,0
258,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,Why don't most of the Hindus eat non-veg?,0
259,What will happen if I cancel TQWL tickets before the charting is done?,Can we cancel a 'Tatkal waiting list' ticket?,0
260,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,1
261,How do I choose a journal to publish my paper?,Where do I publish my paper?,1
262,What are your New Year's resolutions for 2017?,What is your creative New Year's resolution for 2017?,1
263,What do you do if you had a bad dream?,How do you not get bad dreams?,0
264,Why do Slavs squat?,Do squats work for men?,0
265,How many marks should I score for AIIMS rank 151?,What minimum marks should I score to get among top 50 in AIIMS?,0
266,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,0
267,How many months does it take to gain knowledge in developing Android apps from scratch?,How much time does it take to learn Android app development from scratch?,1
268,How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?",0
269,What are the rights of a prisoner?,"If I am in prison, what rights would I have?",1
270,How can I get free gems in Clash of Clans?,How can I get free gems Clash of Clans?,1
271,Why aren't there more apps like Word Lens?,What does Word Lens use for OCR?,0
272,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",0
273,What is the best way to get traffic on your website?,How do i get traffic for website?,1
274,How do you feel when someone upvotes your answer on Quora?,How does it feel to see upvotes to your answer on Quora?,1
275,What are some of the best films and TV shows that feature strong female protagonists?,What are the best female strong characters in films?,1
276,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0
277,How do most people die?,How do people die?,0
278,Why are most clothes made of polyester now instead of cotton?,How are cotton clothes made?,0
279,What is in bone marrow?,What does bone marrow taste like?,0
280,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0
281,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?",1
282,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,0
283,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
284,How can I make money online with free of cost?,How do I to make money online?,1
285,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1
286,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,1
287,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,1
288,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
289,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
290,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
291,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1
292,What is CPAGrip.com?,What is bestmytest.com?,0
293,How much funds should I raise?,How much money should I raise?,1
294,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
295,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
296,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,1
297,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
298,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
299,What the meaning of this all life?,What's are the meaning of life?,1
300,How should I start small business effectively?,How should I start a small business in construction?,0
301,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
302,Do you need friends?,Why do we need friends?,0
303,Do I exist?,Do we exist?,0
304,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1
305,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
306,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
307,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,1
308,Which are the best books to understand calculus?,What are good books to self study calculus?,1
309,Why and how did you break up with her/him?,How and why did you break up with your ex?,1
310,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,0
311,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,0
312,What is the best answer to what you did in two years gap in a job interview?,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,1
313,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,0
314,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0
315,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,0
316,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0
317,What do countries do to prevent war?,How should countries prevent war?,1
318,How can I become a billionaire?,How can I become a billionaire (in finance)?,1
319,Why should I learn web design?,How can I learn about web design?,0
320,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0
321,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,1
322,Why does understanding death philosophical?,What makes understanding death philosophical?,1
323,Why are dogs considered omnivores?,Are dogs carnivorous animals?,1
324,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
325,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0
326,What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,1
327,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0
328,What is journalism for you?,What is journalism?,0
329,How can one increase concentration?,How can I improve my concentration?,1
330,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0
331,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,1
332,What is the difference between deism and agnosticism?,What is the difference between a hobby and a habit?,0
333,Why do male porn stars masturbate to ejaculate?,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,0
334,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,Can I get a job in a consulting firm after Mtech in CSE from IIT?,0
335,Is there a biological reason that people cry when they are emotional?,What is the biological reason for crying?,0
336,What are 5 facts about the earth's crust?,How does the Earth's core affect its crust?,0
337,Why does ISRO not use friction stir welding technology?,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,0
338,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,How can I fake my iPhone location without jailbreaking?,0
339,What would be the best way to quit smoking?,How did you quit/stop smoking?,1
340,Which is the best programing language for tcs?,Which is the best programming language?,0
341,Earthquake resistant homes?,How do earthquake resistant buildings work?,1
342,Is Kristen Stewart a bad actress?  Why or why not?,Is Jennifer Lawrence a bad actress?,0
343,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,0
344,What are the five most popular sugar daddy websites?,What is it like to date a cougar or a sugar daddy?,0
345,What is the VTU 1st sem exam time table of 2016 (Dec)?,How do I frame my time table for 4 months to crack Gate 2016?,0
346,What is the best phone to buy below 15k?,Which are best mobile phones to buy under 15000?,1
347,How do we start a business?,How do I start business from nothing?,1
348,What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,1
349,Why do I keep getting fleas from my dogs?,How can I keep my dog from getting fleas?,1
350,What year did the letter J come?,When was the Letter J created?,1
351,Harvard College Courses: What is general shopping advice for Turkish classes?,Harvard College Courses: What is general shopping advice for Tamil classes?,0
352,How do I send message from one Android phone to another Android phone through bluetooth?,How do I transfer my contacts from one Android phone to another Android phone?,0
353,What are the most important books ever written?,What is the most important book you have ever read?,1
354,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,0
355,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,0
356,What universities does Powell Industries recruit new grads from? What majors are they looking for?,What universities does Chart Industries recruit new grads from? What majors are they looking for?,0
357,What are some of the best movie posters you have come across?,What are the best & iconic movie posters?,0
358,What are some examples of deuteromycota and how are they formed?,Could all bitcoin mining be done by a single Raspberry Pi?,0
359,How racist is too racist?,How racist are you?,0
360,Are there any differences between however and nevertheless?,What's the difference between between and among?,0
361,Are Canada Geese really Canadian?,What do Canadians call Canada?,0
362,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,0
363,How do I edit my devices on my Google play account?,How do I add a second device to a Google Play account?,0
364,How can I become a good speaker?,What should I do to be a good Speaker?,1
365,How can I write a letter to Mr. Narendra Modi?,How can I write to Narendra Modi?,1
366,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,Who is more delusional: Donald Trump or Ted Cruz?,0
367,Why do they name bastards Snow?,"If Jon Snow is not Ned's bastard, why does Lady Catelyn hate him so much?",0
368,What do you think about the Bermuda Triangle?,What are your theories about Bermuda Triangle?,1
369,Do Mexican girls like black guys?,Do girls like black guys with no beard?,0
370,Have you lived in a tiny house?,Would you live in a tiny house?,0
371,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",I am an 18 years old boy and I love a girl who's 14 years old. We both live Tamil Nadu. Is this a time to propose to her?,0
372,Can you debeak cockerels at 8 months old?,How much and with what should I feed my 3 months old raven?,0
373,What should someone do to overcome anxiety?,What should I do to avoid depression and anxiety?,1
374,How do we avoid whey in Yogurt?,Is bad breath a sign of a strong stomach?,0
375,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?","I'm a girl and I'm in love my best friend (who is also a girl), what should I do?",0
376,What is the best university in Germany for an MS?,Which are the best universities in Germany for getting a degree in mechanical engineering?,0
377,How do I maintain my peace of mind?,How can I maintain my peace of mind?,1
378,Which car has good build quality in india?,Is Volkswagen a good reliable car?,0
379,Why does massaging one's temples soothe a migraine or headache?,What are the causes and most effective ways to treat or cure migraine headaches?,0
380,Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,1
381,Why are my bestfriend still ignoring me?,What should I do when my bestfriend is ignoring me?,0
382,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,Which useful Android phone apps are not available in the Google Play store?,0
383,How do I keep motivation to learn a language?,How do you keep motivated when you learn a new language?,1
384,What are the top assessment companies in India?,Which are the top firms in Skills assessment industry in India and Globally?,0
385,What does @ mean as an emoticon?,Emoticons: What does “:/” mean?,0
386,Is a pinkish discharge normal in early pregnancy? What causes it?,What did nicholas piramal do with 17500 cr?,0
387,What are the best ways to properly finger yourself?,What would be the best way of keeping yourself amused in a prison?,0
388,How do scientists work?,Where do scientists work?,0
389,How many sponsored candidates are shortlisted for CMC vellore?,"What is the office culture and woking at Patanjali office, haridwar?",0
390,What is the different between Chinese wedding ceremony and western wedding ceremony?,What is the difference between Chinese and Western style wedding?,1
391,What is the condition of tourism in Pakistan?,Preferable PG courses for BE (EEE) student in Tamil Nadu?,0
392,What is the different between offshore and onshore funds?,What is the difference between offshore and onshore?,0
393,Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,1
394,What are the best self-help books you've ever read?,What are the top self help books I should read?,1
395,Is Evernote useful?,What is Evernote used for?,1
396,A title for my continuation to The Gift of the Magi?,How do I start my continuation for the Gift of the Magi?,0
397,What is a good song to lyric prank your best friend?,What are some good lyric prank songs to send your best friends?,1
398,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,0
399,How do I pass a drug test for methamphetamine?,Can hair dye help pass a hair follicle drug test for daily meth smokers?,1
400,How could start with open source development?,How should I start contributing to open source projects?,1
401,Why do dreams look so real?,"If you dream about some kind of harm, will there be injuries in real life?",0
402,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1
403,How can I get entry in MIT?,What are the requirements for selection into MIT?,1
404,Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,1
405,What are movies with incest scenes?,Are there any good incest movie?,1
406,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,0
407,"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,0
408,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",0
409,Do you regret your divorce?,Have you ever regretted your divorce?,1
410,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",How much can a person's DNA change from birth to death in a life span of approximately 70 years?,1
411,Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,0
412,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,1
413,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",What is the syllabus for ICSE 2017 geography map?,0
414,Which is more financially beneficial: being in a firm or teaching in an architecture college?,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?",0
415,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1
416,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0
417,What is the biggest monster in Monster Hunter?,Is there a Monster Hunter PC game?,0
418,How can I convince people to stop blaspheming against the Holy Spirit?,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,0
419,Why can't I stop watching porn?,Why should / shouldn't I watch porn?,0
420,How can I start trusting any one?,How can one learn to trust again?,0
421,What's your bucket list?,What is your bucket list?,1
422,How did you first come across porn?,How were you first introduced to porn?,1
423,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,0
424,Why can’t charged molecules pass through the lipid cell membrane?,Why can't sodium channels pass through potassium channels?,0
425,How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,0
426,What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,0
427,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",0
428,What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,1
429,How do I make free calls to family members on Airtel Andhra Pradesh?,How do I get Facebook badge notifications on HTC 10?,0
430,What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,1
431,Should I use Vicks Vapor Rub for a stuffy nose?,How do you apply Vicks Vapor rub to treat a stuffy nose?,1
432,How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1
433,How did early Europeans get protein before the Columbian Exchange?,How did they say breakfast in Portuguese before coffee was introduced to Europeans & the Portuguese language?,0
434,What is the best forum for graphic designers?,Who is the best graphic designer in israel?,0
435,Is Alex Jones a satirical show?,How is The Canterbury Tales a satire?,0
436,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,Which should I start with: Angular 2 or AngularJS 1?,0
437,Why can't we fall asleep on some days?,Why do we fall asleep?,0
438,Which Marvel movies have not included Stan Lee cameos?,What is your favourite Stan Lee cameo in a Marvel film?,0
439,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,What are your views on ban of 500 and 1000 rupee notes in India?,1
440,What does the 10/6 label on the Mad Hatter's hat mean?,How do you find a figure labeled this way in a textbook?,0
441,Who wrote the Kars for Kids jingle?,I am a freelance musician. How can I get into the jingle industry?,0
442,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1
443,What are the minimum requirements to enter MIT?,How can I join MIT?,1
444,How do you answer a question on Quora?,What is the best thing you've ever learned on Quora?,0
445,Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1
446,When is it too late to learn the piano?,I'm almost 40. Is it too late for me to learn piano?,1
447,What are natural numbers?,What is a least natural number?,0
448,Is One Plus 3T 4G VoLTE enabled phone?,Which phone to buy Moto m or one plus 3t?,0
449,How do I enter a new email ID which I can access to recover my Facebook ID?,I lost all my ID. I am adopted and can't access my original birth certificate. How do I replace my ID without even a birth certificate?,0
450,How we can travel faster than light?,Is it possible to travel faster than light?,1
451,What is it like being a firefighter?,What's it like to be a firefighter?,1
452,What are the factors that causes data inconsistency in distributed platform/application?,What are the main data platform?,0
453,What are the differences between POCSO and sexual offenses in the IPC?,Do we need the IPC section 375?,0
454,"What is an alternative for the word ""is""?",What is the alternative word for creative?,0
455,What is considered an illegal screen in the NBA?,Shaquille O'Neal considers Tim Duncan a power forward therefore disqualifying Duncan from the NBA great big men discussion. Does O'Neal have a point?,0
456,Nothing excites me anymore. How do I regain that excitement?,Why do I feel like I'm excited about something when I have nothing to be excited about?,0
457,What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1
458,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,How do you stop a criminal's attempt to kidnap you and escape unharmed?,1
459,How do I sell on Amazon?,How do I start selling on Amazon?,1
460,Daniel Ek: When an we expect Spotify in India?,Daniel Ek: Are there any future plans of releasing Spotify in India?,1
461,What are the top 10 books one should read in his or her early 20s?,What books are worth reading in early 20s?,1
462,Which book should I start with for the GATE preparation?,What book do I start with for GATE preparation?,1
463,"What does the phrase ""He who does not love abides in death"" exactly mean?","What does the phrase ""love begets love"" mean?",0
464,What is similar to 4Shared?,What is similar to 4shared but better?,1
465,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?,"If someone grabs you by your shirt with both their hands and tells you to shut up, is that assault and can you call the police?",0
466,Considering the current trend of information technology what is the future of print media?,What is this model's name? I see her everywhere.,0
467,What is the best recipe for chicken pizza?,What are some good pizza recipes?,0
468,What are some good places to learn mountaineering in India?,What are some good mountaineering institutes for a beginner level mountaineering course?,1
469,Do new table tennis balls damage rubbers?,How do you unlock a car with a tennis ball?,0
470,My new Xbox one S can't connect to internet during setup. Any solutions?,Can I withdraw my money from any branch of particular bank .my bank is bank of Baroda I have no Atm card and cheque book?,0
471,Is it wrong for me to be content with my life?,What is a cover story?,0
472,Is gravity only a theory?,"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",0
473,How could I become a fighter pilot when I have less than the required eyesight?,I have terrible eyesight. Can I still become a fighter pilot in the Air Force?,0
474,Operation executive salary in Infosys?,"How do I do the Wake Back To Bed lucid dreaming technique when I think I have restless leg syndrome (regardless, my legs hurt at night.)?",0
475,Have cavemen been scientifically tested?,Have mythical creatures been scientifically tested?,0
476,Can climate change be reversed?,Can the global climate change be reversed or halted?,1
477,How should ask my crush for her number?,What should I ask my crush?,0
478,Why do I believe that gravitation force exist?,Does gravitational force exists in all planets?,0
479,Did Mahabharata really happen?,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,1
480,Can Congress stop Presidents from starting a major war?,What's a good source to purchase Attorneys eMail addresses? Thanks,0
481,Is it safe to lose 25 pounds in 1 month?,Is it healthy to lose 13 pounds in a month?,0
482,What are some cute shounen ai series?,When will the Pokémon series end?,0
483,Why are police lights red and blue?,Why are police lights red and/or blue?,1
484,How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1
485,Who owns nature?,Who owns Natural Factors?,0
486,How can I install OBB/data file on an Android?,I want to install EXE extension files in Android mobile. Is it possible?,0
487,What is garbage value? And Why do we get garbage value in c?,What is garbage value in c?,0
488,How do I prepare for software interviews?,What are the best ways to prepare for software interviews?,1
489,Does Rahul Gandhi have any chance to become next PM of India after Modi?,Does Rahul Gandhi have chances to become next Pm of India after Modi?,1
490,Is noon 12 am or 12 pm?,Is it good to do gym at morning and swimming at noon?,0
491,What is the difference between a comet and an asteroid?,What is the difference between asteroids and comets?,1
492,Is chocolate milk good for you?,Why is unrefrigerated milk good for you?,0
493,How should I study,What are some tricks to study effectively?,1
494,Which country is best for higher education and work?,Which is the best country for higher education after USA and UK?,0
495,What is the painting on this image?,What is this painting?,0
496,Which are the major highways in California and how are they compared to the major highways in Tennessee?,Which are the major highways in California and how are they compared to the major highways in Texas?,0
497,What's beyond our Universe?,"If space is expanding, where does the new space come from?",0
498,Is growing of hair a physical or a chemical change?,Can a bald person ever grow their hair back?,0
